242.907000 34.116400 -6.966 2.975 0.198 0.242 0.019591 20000 1.000000
242.555000 33.274300 -10.759 8.628 0.171 0.199 0.051226 20000 1.000000
243.571000 34.594300 -4.465 0.734 0.168 0.198 0.053718 20000 1.000000
241.305000 34.824500 -8.36 6.715 0.186 0.221 0.043070 20000 1.000000
242.675000 33.341900 -10.854 8.075 0.169 0.198 0.057857 20000 1.000000
242.524000 33.381100 -10.25 8.394 0.171 0.197 0.052283 20000 1.000000
242.103000 34.126000 -10.176 6.179 0.249 0.266 0.168633 20000 1.000000
240.970000 33.480500 -10.654 9.713 0.189 0.213 0.012490 20000 1.000000
243.116000 34.264300 -6.573 3.269 0.193 0.231 0.112876 20000 1.000000
240.594000 34.920500 -9.109 5.764 0.168 0.201 0.028472 20000 1.000000
243.379000 37.039900 -4.021 -1.079 0.175 0.212 0.044513 20000 1.000000
244.002000 34.000500 -4.658 -0.538 0.171 0.199 0.033205 20000 1.000000
242.935000 33.578200 -10.024 6.781 0.183 0.21 0.042121 20000 1.000000
243.920000 35.287000 -4.011 -2 0.173 0.205 0.050163 20000 1.000000
245.285000 33.610400 -3.806 -2.306 0.172 0.199 0.037046 20000 1.000000
243.947000 34.251400 -3.466 -0.063 0.172 0.201 0.051199 20000 1.000000
241.723000 34.184900 -6.362 7.792 0.204 0.235 0.095891 20000 1.000000
242.988000 34.918600 -4.743 1.974 0.179 0.214 0.033278 20000 1.000000
241.812000 34.292800 -10.207 6.605 0.256 0.269 -0.274788 20000 1.000000
242.156000 42.779500 -2.709 -1.652 0.167 0.223 0.045720 20000 1.000000
240.653000 35.157300 -8.029 3.527 0.172 0.209 0.068504 20000 1.000000
235.437000 42.836100 1.043 1.407 0.174 0.233 0.033795 20000 1.000000
244.010000 33.655100 -5.111 1.56 0.179 0.21 0.076141 20000 1.000000
239.566000 35.939400 -6.496 4.944 0.166 0.204 0.029267 20000 1.000000
239.569000 35.888400 -8.329 7.999 0.192 0.228 0.058250 20000 1.000000
241.666000 33.311600 -11.564 9.846 0.166 0.196 0.053929 20000 1.000000
241.517000 33.445800 -10.893 10.137 0.171 0.203 0.027093 20000 1.000000
241.370000 34.138600 -11.19 8.098 0.207 0.228 0.136366 20000 1.000000
242.329000 35.565300 -5.128 1.52 0.174 0.211 0.046462 20000 1.000000
240.987000 34.806400 -9.904 5.036 0.184 0.24 -0.078406 20000 1.000000
243.664000 34.829500 -4.06 0.159 0.184 0.21 0.045285 20000 1.000000
242.035000 34.244000 -10.391 5.324 0.199 0.246 -0.073076 20000 1.000000
241.974000 34.333400 -9.491 6.851 0.19 0.216 0.108847 20000 1.000000
